nombre;sexo;nivel_estudio;ocupacion;edad;rango_edad;ingresos_mensuales;percepcion_calidad_vida;departamento;ciudad
Sebasti†n Hern†ndez;F;Primaria;Estudiante;42;31-50;Entre 2 y 3 SM;Mala;Antioquia;ItagÅ°
Daniel D°az;M;TÇcnico;Desempleado;70;51+;1 salario m°nimo;Regular;Atl†ntico;Barranquilla
Sof°a L¢pez;F;Secundaria;Independiente;20;18-30;Entre 3 y 5 SM;Regular;Antioquia;Medell°n
Sof°a Garc°a;F;Secundaria;Hogar;47;31-50;1 salario m°nimo;Regular;Bol°var;MaganguÇ
Felipe L¢pez;M;Secundaria;Independiente;47;31-50;1 salario m°nimo;Buena;Bol°var;Cartagena
Juan L¢pez;M;Posgrado;Empleado;34;31-50;Entre 3 y 5 SM;Mala;Antioquia;ItagÅ°
Carlos Fern†ndez;M;Universitario;Desempleado;74;51+;Entre 1 y 2 SM;Regular;Antioquia;Medell°n
Paula Mart°nez;M;Universitario;Hogar;15;Menor de edad;Entre 3 y 5 SM;Mala;Cundinamarca;Mosquera
Valentina Garc°a;M;Universitario;Empleado;45;31-50;1 salario m°nimo;Mala;Cundinamarca;El Rosal
Juan Hern†ndez;M;Tecn¢logo;Independiente;61;51+;1 salario m°nimo;Mala;Cundinamarca;Madrid
Luisa Mart°nez;M;Universitario;Desempleado;49;31-50;Entre 2 y 3 SM;Regular;Boyac†;Tunja
Juan L¢pez;M;TÇcnico;Independiente;69;51+;Entre 1 y 2 SM;Buena;Bol°var;Turbaco
Camila Fern†ndez;M;Secundaria;Independiente;34;31-50;M†s de 5 SM;Mala;Antioquia;Medell°n
Felipe Su†rez;M;Universitario;Independiente;66;51+;1 salario m°nimo;Mala;Cundinamarca;Mosquera
Sebasti†n L¢pez;M;TÇcnico;Independiente;68;51+;Entre 2 y 3 SM;Regular;Atl†ntico;Malambo
Sara Mart°nez;F;Secundaria;Empleado;24;18-30;Entre 3 y 5 SM;Mala;Nari§o;Pasto
Juan Garc°a;M;Primaria;Hogar;41;31-50;1 salario m°nimo;Mala;Cundinamarca;El Rosal
Jorge Su†rez;F;TÇcnico;Jubilado;80;51+;M†s de 5 SM;Buena;Atl†ntico;Barranquilla
Sebasti†n Garc°a;M;Posgrado;Estudiante;67;51+;M†s de 5 SM;Buena;Valle del Cauca;Cali
Sara Garc°a;M;Primaria;Empleado;71;51+;1 salario m°nimo;Regular;Boyac†;Tunja
Carlos D°az;F;Universitario;Hogar;43;31-50;M†s de 5 SM;Regular;Bol°var;MaganguÇ
Daniel D°az;M;TÇcnico;Hogar;67;51+;Entre 3 y 5 SM;Regular;Nari§o;Ipiales
Carlos Torres;F;Secundaria;Estudiante;38;31-50;Entre 1 y 2 SM;Regular;Santander;Giron
Alejandro Garc°a;F;Secundaria;Jubilado;37;31-50;Entre 1 y 2 SM;Regular;Boyac†;Duitama
Luisa Mart°nez;F;TÇcnico;Independiente;53;51+;Entre 2 y 3 SM;Buena;Nari§o;Ipiales
Carlos Torres;M;Tecn¢logo;Empleado;38;31-50;1 salario m°nimo;Regular;Tolima;Herveo
Carlos Su†rez;M;Primaria;Independiente;33;31-50;M†s de 5 SM;Regular;Santander;Floridablanca
Diana Hern†ndez;M;Secundaria;Jubilado;20;18-30;1 salario m°nimo;Buena;Valle del Cauca;Palmira
Sara Fern†ndez;F;Primaria;Empleado;45;31-50;Entre 3 y 5 SM;Buena;Valle del Cauca;Palmira
Miguel D°az;F;Primaria;Independiente;34;31-50;Entre 2 y 3 SM;Buena;Nari§o;Pasto
Paula D°az;M;Posgrado;Jubilado;48;31-50;Entre 2 y 3 SM;Mala;Antioquia;Medell°n
AndrÇs Mart°nez;F;Primaria;Hogar;20;18-30;Entre 2 y 3 SM;Regular;Santander;Floridablanca
Mateo D°az;M;Secundaria;Empleado;43;31-50;1 salario m°nimo;Regular;Cundinamarca;El Rosal
Natalia L¢pez;M;Posgrado;Jubilado;50;31-50;Entre 3 y 5 SM;Regular;Atl†ntico;Malambo
Mateo Torres;F;Primaria;Hogar;34;31-50;1 salario m°nimo;Regular;Boyac†;Sogamoso
Paula L¢pez;M;Secundaria;Independiente;30;18-30;Entre 2 y 3 SM;Mala;Tolima;IbaguÇ
